Workflow,System Workflow Tests - Enhanced with Front-end Analysis,,,
Test requirement,"Test all possible scenarios for main workflows of Condotel Management system end-to-end, including Front-end UI interactions, Back-end API calls, and complete user flows",,,
Number of TCs,85,,,
,,,,
Testing Round Summary,,,,
,Passed,Failed,Pending,N/A
Round 1,0,0,85,0
Round 2,0,0,85,0
Round 3,0,0,85,0
,,,,
TestcaseID,Function Name,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions
,,,,
Scenario A: Booking Workflow - Enhanced (25 test cases),,,,
WF-BOOKING-022,BrowseCondotels,Browse Condotels - View List,"1. Open browser and navigate to application URL
2. Navigate to ""Danh sách Condotel"" or ""Listing Stay"" page (/listing-stay)
3. View condotel list page","1. System displays list of condotels with images, names, prices
2. Each condotel card shows: image, name, price per night, location, rating
3. User can scroll through the list
4. Pagination or infinite scroll works correctly","Application is running. Condotels exist in database"
WF-BOOKING-023,FilterCondotels,Filter Condotels - By Price Range,"1. Navigate to ""Listing Stay"" page
2. Click on ""Bộ lọc"" or ""Filter"" button
3. Set minimum price: 200000 VND
4. Set maximum price: 1000000 VND
5. Click ""Áp dụng"" or ""Apply"" button","1. System displays only condotels within price range
2. Filter is applied correctly
3. Condotel list updates to show filtered results","Condotels with different prices exist in database"
WF-BOOKING-024,FilterCondotels,Filter Condotels - By Location,"1. Navigate to ""Listing Stay"" page
2. Click on ""Bộ lọc"" button
3. Select location from dropdown (e.g., ""Hà Nội"")
4. Click ""Áp dụng"" button","1. System displays only condotels in selected location
2. Filter is applied correctly
3. Location filter works as expected","Condotels in different locations exist in database"
WF-BOOKING-025,SearchCondotels,Search Condotels - By Name,"1. Navigate to ""Listing Stay"" page
2. Enter condotel name in search box (e.g., ""Luxury Apartment"")
3. Press Enter or click search icon","1. System displays condotels matching search term
2. Search results are relevant
3. Search is case-insensitive","Condotels with different names exist in database"
WF-BOOKING-026,ViewCondotelDetail,View Condotel Detail - Complete Information,"1. Navigate to ""Listing Stay"" page
2. Click on a condotel card
3. View condotel detail page (/listing-stay-detail/:id)","1. System displays complete condotel information:
   - Images gallery
   - Name, description
   - Price per night
   - Location, address
   - Amenities list
   - Reviews and ratings
   - Host information
2. Date picker is available
3. ""Đặt phòng"" button is visible","Condotel exists in database with complete information"
WF-BOOKING-027,CheckoutPage,Checkout Page - Review Booking Summary,"1. Complete booking flow to checkout page (/checkout)
2. View checkout page with booking details","1. System displays booking summary:
   - Condotel name and image
   - Check-in and check-out dates
   - Number of nights
   - Price per night
   - Subtotal
   - Service fees (if any)
   - Total price
2. Promotion section is visible (if available)
3. Voucher input field is visible
4. Service packages section is visible (if available)
5. Reward points option is visible","User is logged in as Tenant. Booking data is passed to checkout page"
